,Date,title,category,account,amount,currency,type,id
849,2023-10-22 12:42:40.411,Bus,Transport,Cash,30.00,INR,EXPENSE,1226dbe7-b544-45a7-a1dc-600679421ee1
850,2023-10-22 12:42:27.696,Bus,Transport,Cash,20.00,INR,EXPENSE,4c6b2085-3835-4b8d-900f-8b777c2613dc
851,2023-10-22 10:45:00.000,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,d0b67f09-34f9-4a75-b8ca-6afe9e6b6041
852,2023-10-22 02:54:45.615,Maa,Bills & Fees,Cash,50.00,INR,EXPENSE,30dc6898-a78c-4981-93a6-6876bd02b2db
853,2023-10-21 16:02:43.591,Juice,Food & Drinks,Cash,30.00,INR,EXPENSE,9fa38570-f628-42eb-81a3-41ac25eaf077
854,2023-10-21 03:07:10.139,Auto,Transport,Cash,20.00,INR,EXPENSE,e5b68f42-1ae9-4087-b70e-0f37247a48b9
855,2023-10-20 03:55:42.633,Bus,Transport,Cash,30.00,INR,EXPENSE,a4484350-6cf4-4d4b-9c38-773827a5d49e
856,2023-10-20 03:10:00.000,PtA,Transport,Metro Card,10.00,INR,EXPENSE,e04f9a4a-78b6-4ea5-bd57-66019be37465
857,2023-10-20 03:09:00.000,HtP,Transport,Metro Card,35.00,INR,EXPENSE,e80d649a-a392-449b-aaf9-bb569a0510d3
858,2023-10-20 03:07:00.000,AtR,Transport,Metro Card,35.00,INR,EXPENSE,0d62c76b-9d29-482f-b63a-9ce7bba105a8
859,2023-10-20 03:00:00.000,Bus,Transport,Cash,30.00,INR,EXPENSE,a1e744ae-705e-489d-ab04-47d39d7dd881
860,2023-10-19 12:12:05.334,RtA,Transport,Metro Card,45.00,INR,EXPENSE,d7dc2bec-0060-49b1-8fae-2135b8ab8d56
861,2023-10-19 09:44:54.023,AtR,Transport,Metro Card,35.00,INR,EXPENSE,b75da623-cdeb-4ac4-91e2-6e180d1d58ba
863,2023-10-18 13:57:27.120,Snacks,Food & Drinks,Cash,30.00,INR,EXPENSE,affa6bc0-30dc-419e-a503-1afce696d3fc
865,2023-10-18 13:56:15.773,Bus,Transport,Cash,10.00,INR,EXPENSE,5eafe6b2-c6ee-471e-a9b1-d4df02660108
866,2023-10-18 11:47:13.193,AtR,Transport,Metro Card,35.00,INR,EXPENSE,9bbd56aa-e590-4c3d-a360-0ddbbe9a1567
869,2023-10-17 14:06:51.024,Stonks,Bills & Fees,Savings Bank,111.00,INR,EXPENSE,4ed9144f-a099-42b6-a750-e168f502f6d5
870,2023-10-17 14:05:51.717,Bus,Transport,Cash,10.00,INR,EXPENSE,b0abacd3-96ae-4281-820f-80ab45159bee
871,2023-10-17 14:05:45.338,Bus,Transport,Cash,10.00,INR,EXPENSE,102892f2-b50d-48de-95c0-31a8b0f54abf
872,2023-10-17 14:05:28.329,Metro,Transport,Savings Bank,35.00,INR,EXPENSE,8b0af34c-082b-4235-95b9-af521eb4b6bf
873,2023-10-17 14:05:15.571,Chotu,Bills & Fees,Savings Bank,"1,000.00",INR,EXPENSE,137ff062-5b2f-4124-b28a-6351c338d7cf
874,2023-10-17 14:05:09.168,Baba,Bills & Fees,Savings Bank,"2,000.00",INR,EXPENSE,f5770ed6-34f8-4659-976d-d5c4957ae301
878,2023-10-06 07:54:37.276,Auto,Transport,Cash,20.00,INR,EXPENSE,425f3283-a482-4672-bed4-af89af56f2f1
879,2023-10-06 02:28:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,fb613be8-3fea-45a8-bcca-4b9a4d64aa02
880,2023-10-05 11:18:59.944,Auto,Transport,Cash,20.00,INR,EXPENSE,be292616-532f-4010-9c20-1c9209e2eb9c
882,2023-10-03 12:59:56.996,Auto,Transport,Cash,20.00,INR,EXPENSE,695d3e1a-611e-4cfb-a2ec-0e61074949f2
883,2023-10-03 02:48:42.707,Bus,Transport,Cash,10.00,INR,EXPENSE,a098bac2-8411-45eb-abf5-93df91df0d19
